username,repo_name,stars,repo_url
metafizzy,infinite-scroll,6000,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,6000,https://github.com/ljianshu/Blog
developit,unfetch,5000,https://github.com/developit/unfetch
jquery-form,form,5000,https://github.com/jquery-form/form
Studio-42,elFinder,4000,https://github.com/Studio-42/elFinder
olifolkerd,tabulator,4000,https://github.com/olifolkerd/tabulator
ded,reqwest,2000,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2000,https://github.com/LeaVerou/bliss
elbywan,wretch,2000,https://github.com/elbywan/wretch
noelboss,featherlight,2000,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1000,https://github.com/craftpip/jquery-confirm
wendux,Ajax-hook,1000,https://github.com/wendux/Ajax-hook
ptaoussanis,sente,1000,https://github.com/ptaoussanis/sente
joaomilho,Enterprise,1000,https://github.com/joaomilho/Enterprise
nette,tracy,1000,https://github.com/nette/tracy
yisainan,web-interview,1000,https://github.com/yisainan/web-interview
u014427391,jeeplatform,1000,https://github.com/u014427391/jeeplatform
MoOx,pjax,1000,https://github.com/MoOx/pjax
danielm,uploader,1000,https://github.com/danielm/uploader
loadingio,css-spinner,1000,https://github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1000,https://github.com/codingforentrepreneurs/eCommerce
renderedtext,render_async,1000,https://github.com/renderedtext/render_async
swlib,saber,894000,https://github.com/swlib/saber
webcreate,infinite-ajax-scroll,814000,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,736000,https://github.com/opensource-socialnetwork/opensource-socialnetwork
proyecto26,RestClient,721000,https://github.com/proyecto26/RestClient
rapidjs,rapid.js,702000,https://github.com/rapidjs/rapid.js
ni-ze,ssm-BookAppointment,673000,https://github.com/ni-ze/ssm-BookAppointment
csxiaoyaojianxian,JavaScriptStudy,539000,https://github.com/csxiaoyaojianxian/JavaScriptStudy
