,Descrition,Url,price,Stars,Review Count
0,"Samsung 27 inch M5 Smart Monitor with Netflix, YouTube, Prime Video and Apple TV Streaming (LS27AM500NWXXL, Black)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0272641A2DRRBX93AVR&url=%2FSamsung-Monitor-Netflix-Streaming-LS27AM500NWXXL%2Fdp%2FB08XB1F1RD%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1622976001%26sr%3D8-1-spons%26psc%3D1&qualifier=1622976001&id=4899543402211834&widgetName=sp_atf,"23,499",3.8 out of 5 stars,41
1,"BenQ Zowie XL2411K 24 Inch 144 Hz Gaming Monitor, 1080P 1ms, 72% NTSC, Smaller Base, DyAc for Competitive Edge",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02625142AAFXWFRHM56O&url=%2FBenQ-XL2411K-Monitor-Smaller-Competitive%2Fdp%2FB08HJ2T1JK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1622976001%26sr%3D8-2-spons%26psc%3D1&qualifier=1622976001&id=4899543402211834&widgetName=sp_atf,"16,990",3.8 out of 5 stars,5
2,"LG UltraWide 34 Inch WFHD (2560 x 1080) IPS Display - HDR 10, AMD Free sync, sRGB 99%, Multitasking and Gaming Monitor - 34WL500",https://www.amazon.in/LG-UltraWide-Inch-WFHD-Display/dp/B08CF4LZT1/ref=sr_1_3?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-3,"26,499",4.3 out of 5 stars,270
3,"LG 29 inch Ultrawide Full HD IPS Gaming, Multitasking Monitor with 1ms Response Rate, 75Hz Refresh Rate - USB C, Display Port, HDMI, VGA - 10 W Inbuilt Speaker - 29UM69G",https://www.amazon.in/LG-29UM69G-Ultrawide-Monitor-SPEAKERS/dp/B0793KVRH4/ref=sr_1_4?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-4,"16,999",4.4 out of 5 stars,"4,605"
4,"LG UltraWide 29 (73 cm) WFHD (2560 x 1080) IPS Display - HDR 10, Radeon FreeSync, Color Calibrated sRGB 99%, Inbuilt Speaker (7W x 2), HDMI x 2, Display Port, Audio Out - 29WN600- White",https://www.amazon.in/LG-UltraWide-WFHD-2560-Display/dp/B08J5QZX93/ref=sr_1_5?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-5,"18,999",4.3 out of 5 stars,161
5,"LG UltraWide 34 Inch WQHD (3440 x 1440) IPS Display - HDR 10, Radeon FreeSync, sRGB 99%, Height Adjust Stand, HDMI x 2, Display Port, Audio Out - 34WL750 (Black)",https://www.amazon.in/LG-UltraWide-Inch-WQHD-Display/dp/B08J65DSTQ/ref=sr_1_6?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-6,"36,608",4.3 out of 5 stars,34
6,LG 34WL500-B 34 Inch 21:9 UltraWide™ 1080p Full HD IPS Monitor with HDR,https://www.amazon.in/LG-34WL500-B-34-Inch-UltraWideTM/dp/B084D48S86/ref=sr_1_7?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-7,"28,900",4.3 out of 5 stars,24
7,"LG Ultragear 81.28 cm (32-inch) QHD (2K) Gaming Monitor with 144Hz,1ms, Radeon Freesync, Display Port, HDMI x 2-32GK650",https://www.amazon.in/LG-Ultragear-Gaming-Monitor-Freesync/dp/B07FLGR2PN/ref=sr_1_8?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-8,"24,999",4.3 out of 5 stars,"4,229"
8,"Samsung 34-inch (86.40cm) Curved Monitor- 21:9 Ultrawide QLED, Thunderbolt 3 Port- LC34J791WTWXXL",https://www.amazon.in/Samsung-Monitor-Ultrawide-Thunderbolt-LC34J791WTWXXL/dp/B07TVDMT91/ref=sr_1_9?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-9,"74,999",4.1 out of 5 stars,29
9,LG 25UM58 25-inch Ultra-Wide LED Monitor (Black),https://www.amazon.in/LG-inch-63-5-Ultrawide-Monitor/dp/B01MG52X3Y/ref=sr_1_10?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-10,"14,989",4.3 out of 5 stars,212
10,"Zebronics 27 inch (68.5 cm) LED Monitor with Full HD Display, HDMI and VGA Port, Built in Speaker, Slim Bezel, Metal Stand and Wall Mountable - Zeb-A27FHD LED",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03093005ASGKCEJHNZD&url=%2FZebronics-68-5cm-LED-Monitor-White%2Fdp%2FB07S3H29CT%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1622976001%26sr%3D8-11-spons%26psc%3D1&qualifier=1622976001&id=4899543402211834&widgetName=sp_mtf,"14,460",3.9 out of 5 stars,138
11,"AOC 27-inch Curved 1700R LED Monitor with HDMI/VGA Port/Display Port/Earphone, Full HD, Tilt Adjustment, Wall Mountable - C27V1Q/WS (Glossy White)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A058142327VZ8EM26AWJ5&url=%2FAOC-C27V1Q-WS-Adjustment-Mountable%2Fdp%2FB07XVM8V8B%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1622976001%26sr%3D8-12-spons%26psc%3D1&qualifier=1622976001&id=4899543402211834&widgetName=sp_mtf,"17,800",4.1 out of 5 stars,23
12,"Acer Predator X35 1800R Curved 35 Inch UltraWide QHD Gaming Monitor I G-SYNC Ultimate I Quantum Dot I 200Hz I VESA Display HDR 1000 I Adjustable Stand I Display Port, HDMI Port & USB 3.0 HUB",https://www.amazon.in/Acer-Predator-UltraWide-Ultimate-Adjustable/dp/B08P2VQ5XV/ref=sr_1_13?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-13,"1,99,000",0,0
13,"HP 34-inch Curved Ultra-Thin Bezel Less QHD IPS Monitor-AMD Free Sync, 300 Nits with Audio in, Headphone, USB, HDMI, Display Ports - HP 34f Curve Monitor (6JM51AA)",https://www.amazon.in/HP-34-inch-Ultra-Thin-Monitor-AMD-Headphone/dp/B07T5YQSX3/ref=sr_1_14?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-14,"43,989",4.0 out of 5 stars,2
14,Dorca Best Protective Monitor Dust Cover for LG 29 Inch Ultrawide IPS Monitor 29UM69G,https://www.amazon.in/Dorca-Protective-Monitor-Ultrawide-29UM69G/dp/B07SHM9XMJ/ref=sr_1_15?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-15,349,4.4 out of 5 stars,17
15,Dorca Best Protective Monitor Dust Cover for LG 25 inch 25UM58 21:9 Ultrawide Gaming Monitor,https://www.amazon.in/Dorca-Protective-Monitor-Cover-25UM58/dp/B07Q619W73/ref=sr_1_16?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-16,319,4.0 out of 5 stars,5
16,Dorca Best Protective Monitor Dust Cover for Dell 32” D3218HN Ultra-Wide IPS Monitor -White,https://www.amazon.in/Dorca-Protective-Monitor-D3218HN-Ultra-Wide/dp/B07TJZ1DPN/ref=sr_1_17?dchild=1&keywords=ultrawide+monitor&qid=1622976001&sr=8-17,399,4.3 out of 5 stars,7
17,"LG QHD (2560 x 1440) 32 Inch IPS Display 3 Side Borderless - HDR 10, sRGB 99%, AMD Free sync - Dual HDMI, Display Port - 32QN600",https://www.amazon.in/LG-2560-1440-Display-Borderless/dp/B08CF59SKW/ref=sr_1_18?dchild=1&keywords=ultrawide+monitor&qid=1622976001&smid=A14CZOWI0VEHLG&sr=8-18,"23,999",4.4 out of 5 stars,"1,365"
