username,repo_name,stars,repo_url
amphp,amp,3000,https://github.com/amphp/amp
danog,MadelineProto,1000,https://github.com/danog/MadelineProto
amphp,http-server,1000,https://github.com/amphp/http-server
unreal4u,telegram-api,654000,https://github.com/unreal4u/telegram-api
amphp,http-client,565000,https://github.com/amphp/http-client
amphp,parallel,495000,https://github.com/amphp/parallel
php-service-bus,service-bus,293000,https://github.com/php-service-bus/service-bus
amphp,mysql,240000,https://github.com/amphp/mysql
amphp,byte-stream,224000,https://github.com/amphp/byte-stream
amphp,parallel-functions,185000,https://github.com/amphp/parallel-functions
amphp,socket,131000,https://github.com/amphp/socket
amphp,process,131000,https://github.com/amphp/process
amphp,redis,111000,https://github.com/amphp/redis
kelunik,acme,103000,https://github.com/kelunik/acme
amphp,dns,92000,https://github.com/amphp/dns
PeeHaa,mailgrab,92000,https://github.com/PeeHaa/mailgrab
amphp,websocket-client,85000,https://github.com/amphp/websocket-client
amphp,sync,75000,https://github.com/amphp/sync
jolicode,asynit,67000,https://github.com/jolicode/asynit
amphp,websocket-server,62000,https://github.com/amphp/websocket-server
amphp,postgres,57000,https://github.com/amphp/postgres
amphp,cache,54000,https://github.com/amphp/cache
amphp,beanstalk,53000,https://github.com/amphp/beanstalk
amphp,file,52000,https://github.com/amphp/file
amphp,windows-registry,50000,https://github.com/amphp/windows-registry
amphp,hpack,47000,https://github.com/amphp/hpack
amphp,serialization,44000,https://github.com/amphp/serialization
phpinnacle,ridge,41000,https://github.com/phpinnacle/ridge
Room-11,Jeeves,41000,https://github.com/Room-11/Jeeves
amphp,aerys,40000,https://github.com/amphp/aerys
