username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,26000,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6000,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6000,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6000,https://github.com/tokyo-metropolitan-gov/covid19
pcm-dpc,COVID-19,3000,https://github.com/pcm-dpc/COVID-19
owid,covid-19-data,3000,https://github.com/owid/covid-19-data
ieee8023,covid-chestxray-dataset,2000,https://github.com/ieee8023/covid-chestxray-dataset
WorldHealthOrganization,app,2000,https://github.com/WorldHealthOrganization/app
geohot,corona,1000,https://github.com/geohot/corona
ahmadawais,corona-cli,1000,https://github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1000,https://github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1000,https://github.com/ExpDev07/coronavirus-tracker-api
mhdhejazi,CoronaTracker,1000,https://github.com/mhdhejazi/CoronaTracker
soroushchehresa,awesome-coronavirus,1000,https://github.com/soroushchehresa/awesome-coronavirus
neherlab,covid19_scenarios,1000,https://github.com/neherlab/covid19_scenarios
github,covid19-dashboard,1000,https://github.com/github/covid19-dashboard
pomber,covid19,1000,https://github.com/pomber/covid19
FoldingAtHome,coronavirus,1000,https://github.com/FoldingAtHome/coronavirus
datasets,covid-19,1000,https://github.com/datasets/covid-19
chrismattmann,tika-python,1000,https://github.com/chrismattmann/tika-python
lindawangg,COVID-Net,968000,https://github.com/lindawangg/COVID-Net
ImperialCollegeLondon,covid19model,923000,https://github.com/ImperialCollegeLondon/covid19model
cyberman54,ESP32-Paxcounter,874000,https://github.com/cyberman54/ESP32-Paxcounter
chandrikadeb7,Face-Mask-Detection,853000,https://github.com/chandrikadeb7/Face-Mask-Detection
UCSD-AI4H,COVID-CT,846000,https://github.com/UCSD-AI4H/COVID-CT
makers-for-life,makair,722000,https://github.com/makers-for-life/makair
globalcitizen,2019-wuhan-coronavirus-data,626000,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
neuml,paperai,619000,https://github.com/neuml/paperai
javieraviles,covidAPI,599000,https://github.com/javieraviles/covidAPI
pallupz,covid-vaccine-booking,552000,https://github.com/pallupz/covid-vaccine-booking
