username,repo_name,stars,repo_url
twbs,bootstrap,150000,https://github.com/twbs/bootstrap
electron,electron,92000,https://github.com/electron/electron
animate-css,animate.css,70000,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,65000,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,52000,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,50000,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,43000,https://github.com/necolas/normalize.css
jgthms,bulma,43000,https://github.com/jgthms/bulma
tailwindlabs,tailwindcss,42000,https://github.com/tailwindlabs/tailwindcss
prettier,prettier,39000,https://github.com/prettier/prettier
juliangarnier,anime,39000,https://github.com/juliangarnier/anime
Dogfalo,materialize,38000,https://github.com/Dogfalo/materialize
parcel-bundler,parcel,38000,https://github.com/parcel-bundler/parcel
vercel,hyper,35000,https://github.com/vercel/hyper
styled-components,styled-components,33000,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,29000,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,24000,https://github.com/evanw/esbuild
postcss,postcss,24000,https://github.com/postcss/postcss
IanLunn,Hover,24000,https://github.com/IanLunn/Hover
iview,iview,23000,https://github.com/iview/iview
sentsin,layui,23000,https://github.com/sentsin/layui
tabler,tabler,23000,https://github.com/tabler/tabler
Advanced-Frontend,Daily-Interview-Question,23000,https://github.com/Advanced-Frontend/Daily-Interview-Question
pure-css,pure,21000,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,21000,https://github.com/mdbootstrap/mdb-ui-kit
jlmakes,scrollreveal,19000,https://github.com/jlmakes/scrollreveal
postcss,autoprefixer,19000,https://github.com/postcss/autoprefixer
Popmotion,popmotion,18000,https://github.com/Popmotion/popmotion
haizlin,fe-interview,17000,https://github.com/haizlin/fe-interview
AllThingsSmitty,css-protips,17000,https://github.com/AllThingsSmitty/css-protips
