username,repo_name,stars,repo_url
etcd-io,etcd,36000,https://github.com/etcd-io/etcd
pingcap,tidb,27000,https://github.com/pingcap/tidb
SheetJS,sheetjs,25000,https://github.com/SheetJS/sheetjs
metabase,metabase,24000,https://github.com/metabase/metabase
typeorm,typeorm,24000,https://github.com/typeorm/typeorm
influxdata,influxdb,21000,https://github.com/influxdata/influxdb
dbeaver,dbeaver,20000,https://github.com/dbeaver/dbeaver
cockroachdb,cockroach,20000,https://github.com/cockroachdb/cockroach
LeCoupa,awesome-cheatsheets,20000,https://github.com/LeCoupa/awesome-cheatsheets
sqlmapproject,sqlmap,20000,https://github.com/sqlmapproject/sqlmap
facebook,rocksdb,19000,https://github.com/facebook/rocksdb
mongodb,mongo,19000,https://github.com/mongodb/mongo
huihut,interview,18000,https://github.com/huihut/interview
PostgREST,postgrest,17000,https://github.com/PostgREST/postgrest
prisma,prisma1,16000,https://github.com/prisma/prisma1
dgraph-io,dgraph,16000,https://github.com/dgraph-io/dgraph
pubkey,rxdb,15000,https://github.com/pubkey/rxdb
typicode,lowdb,15000,https://github.com/typicode/lowdb
taosdata,TDengine,14000,https://github.com/taosdata/TDengine
sqlitebrowser,sqlitebrowser,14000,https://github.com/sqlitebrowser/sqlitebrowser
realm,realm-cocoa,14000,https://github.com/realm/realm-cocoa
pouchdb,pouchdb,14000,https://github.com/pouchdb/pouchdb
meilisearch,MeiliSearch,14000,https://github.com/meilisearch/MeiliSearch
apache,shardingsphere,14000,https://github.com/apache/shardingsphere
amark,gun,12000,https://github.com/amark/gun
boltdb,bolt,11000,https://github.com/boltdb/bolt
prisma,prisma,11000,https://github.com/prisma/prisma
valeriansaliou,sonic,11000,https://github.com/valeriansaliou/sonic
arangodb,arangodb,11000,https://github.com/arangodb/arangodb
realm,realm-java,11000,https://github.com/realm/realm-java
