username,repo_name,stars,repo_url
homebridge,homebridge,17000,https://github.com/homebridge/homebridge
oznu,homebridge-config-ui-x,1000,https://github.com/oznu/homebridge-config-ui-x
oznu,docker-homebridge,1000,https://github.com/oznu/docker-homebridge
YinHangCode,homebridge-mi-aqara,1000,https://github.com/YinHangCode/homebridge-mi-aqara
Sunoo,homebridge-camera-ffmpeg,758000,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,585000,https://github.com/homebridge/homebridge-raspbian-image
lprhodes,homebridge-broadlink-rm,525000,https://github.com/lprhodes/homebridge-broadlink-rm
dgreif,ring,487000,https://github.com/dgreif/ring
merdok,homebridge-webos-tv,452000,https://github.com/merdok/homebridge-webos-tv
sieren,Homepoint,430000,https://github.com/sieren/Homepoint
hjdhjd,homebridge-unifi-protect,422000,https://github.com/hjdhjd/homebridge-unifi-protect
tavicu,homebridge-samsung-tizen,391000,https://github.com/tavicu/homebridge-samsung-tizen
hoobs-org,HOOBS,358000,https://github.com/hoobs-org/HOOBS
tonesto7,homebridge-smartthings,332000,https://github.com/tonesto7/homebridge-smartthings
oznu,homebridge-syno-spk,312000,https://github.com/oznu/homebridge-syno-spk
plasticrake,homebridge-tplink-smarthome,291000,https://github.com/plasticrake/homebridge-tplink-smarthome
LASER-Yi,homebridge-mi-acpartner,251000,https://github.com/LASER-Yi/homebridge-mi-acpartner
hjdhjd,homebridge-myq,243000,https://github.com/hjdhjd/homebridge-myq
bwp91,homebridge-ewelink,226000,https://github.com/bwp91/homebridge-ewelink
taligentx,dscKeybusInterface,225000,https://github.com/taligentx/dscKeybusInterface
oznu,homebridge-gsh,215000,https://github.com/oznu/homebridge-gsh
homebridge,verified,204000,https://github.com/homebridge/verified
ParadoxAlarmInterface,pai,195000,https://github.com/ParadoxAlarmInterface/pai
hannseman,homebridge-mi-hygrothermograph,193000,https://github.com/hannseman/homebridge-mi-hygrothermograph
naofireblade,homebridge-weather-plus,188000,https://github.com/naofireblade/homebridge-weather-plus
nxhack,openwrt-node-packages,183000,https://github.com/nxhack/openwrt-node-packages
bwp91,homebridge-platform-wemo,180000,https://github.com/bwp91/homebridge-platform-wemo
sahilchaddha,homebridge-dafang,178000,https://github.com/sahilchaddha/homebridge-dafang
nicoduj,homebridge-harmony,178000,https://github.com/nicoduj/homebridge-harmony
thkl,homebridge-homematic,165000,https://github.com/thkl/homebridge-homematic
