username,repo_name,stars,repo_url
microsoft,vscode,116000,https://github.com/microsoft/vscode
denoland,deno,75000,https://github.com/denoland/deno
angular,angular,73000,https://github.com/angular/angular
ant-design,ant-design,71000,https://github.com/ant-design/ant-design
microsoft,TypeScript,71000,https://github.com/microsoft/TypeScript
mui-org,material-ui,68000,https://github.com/mui-org/material-ui
storybookjs,storybook,62000,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,44000,https://github.com/ionic-team/ionic-framework
prettier,prettier,39000,https://github.com/prettier/prettier
nestjs,nest,37000,https://github.com/nestjs/nest
DefinitelyTyped,DefinitelyTyped,33000,https://github.com/DefinitelyTyped/DefinitelyTyped
vuetifyjs,vuetify,30000,https://github.com/vuetifyjs/vuetify
NervJS,taro,28000,https://github.com/NervJS/taro
typescript-cheatsheets,react,24000,https://github.com/typescript-cheatsheets/react
evanw,esbuild,24000,https://github.com/evanw/esbuild
microsoft,monaco-editor,24000,https://github.com/microsoft/monaco-editor
angular,angular-cli,24000,https://github.com/angular/angular-cli
typeorm,typeorm,24000,https://github.com/typeorm/typeorm
mobxjs,mobx,23000,https://github.com/mobxjs/mobx
akveo,ngx-admin,22000,https://github.com/akveo/ngx-admin
react-hook-form,react-hook-form,21000,https://github.com/react-hook-form/react-hook-form
NativeScript,NativeScript,20000,https://github.com/NativeScript/NativeScript
railsware,upterm,19000,https://github.com/railsware/upterm
Eugeny,terminus,17000,https://github.com/Eugeny/terminus
palantir,blueprint,17000,https://github.com/palantir/blueprint
electron-react-boilerplate,electron-react-boilerplate,17000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
alibaba,ice,16000,https://github.com/alibaba/ice
google,flatbuffers,16000,https://github.com/google/flatbuffers
apollographql,apollo-client,16000,https://github.com/apollographql/apollo-client
rome,tools,15000,https://github.com/rome/tools
