username,repo_name,stars,repo_url
icsharpcode,ILSpy,12000,https://github.com/icsharpcode/ILSpy
Unity-Technologies,ml-agents,11000,https://github.com/Unity-Technologies/ml-agents
lettier,3d-game-shaders-for-beginners,10000,https://github.com/lettier/3d-game-shaders-for-beginners
Tencent,xLua,6000,https://github.com/Tencent/xLua
Perfare,AssetStudio,5000,https://github.com/Perfare/AssetStudio
neuecc,UniRx,5000,https://github.com/neuecc/UniRx
sschmid,Entitas-CSharp,5000,https://github.com/sschmid/Entitas-CSharp
egametang,ET,4000,https://github.com/egametang/ET
microsoft,MixedRealityToolkit-Unity,4000,https://github.com/microsoft/MixedRealityToolkit-Unity
RyanNielson,awesome-unity,4000,https://github.com/RyanNielson/awesome-unity
rocksdanister,lively,4000,https://github.com/rocksdanister/lively
anmoljagetia,Flatabulous,3000,https://github.com/anmoljagetia/Flatabulous
MFatihMAR,Game-Networking-Resources,3000,https://github.com/MFatihMAR/Game-Networking-Resources
UnityTechnologies,open-project-1,3000,https://github.com/UnityTechnologies/open-project-1
Unity-Technologies,PostProcessing,3000,https://github.com/Unity-Technologies/PostProcessing
neuecc,MessagePack-CSharp,3000,https://github.com/neuecc/MessagePack-CSharp
ExtendRealityLtd,VRTK,3000,https://github.com/ExtendRealityLtd/VRTK
toly1994328,FlutterUnit,3000,https://github.com/toly1994328/FlutterUnit
michidk,Unity-Script-Collection,3000,https://github.com/michidk/Unity-Script-Collection
marian42,wavefunctioncollapse,3000,https://github.com/marian42/wavefunctioncollapse
simoninithomas,Deep_reinforcement_learning_Course,3000,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
mob-sakai,UIEffect,3000,https://github.com/mob-sakai/UIEffect
ketoo,NoahGameFrame,3000,https://github.com/ketoo/NoahGameFrame
EllanJiang,GameFramework,2000,https://github.com/EllanJiang/GameFramework
Perfare,Il2CppDumper,2000,https://github.com/Perfare/Il2CppDumper
ssannandeji,Zenject-2019,2000,https://github.com/ssannandeji/Zenject-2019
pardeike,Harmony,2000,https://github.com/pardeike/Harmony
zalo,MathUtilities,2000,https://github.com/zalo/MathUtilities
topameng,tolua,2000,https://github.com/topameng/tolua
vis2k,Mirror,2000,https://github.com/vis2k/Mirror
