username,repo_name,stars,repo_url
flutter,flutter,121000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,89000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,79000,https://github.com/nodejs/node
atom,atom,55000,https://github.com/atom/atom
microsoft,PowerToys,55000,https://github.com/microsoft/PowerToys
x64dbg,x64dbg,36000,https://github.com/x64dbg/x64dbg
alacritty,alacritty,32000,https://github.com/alacritty/alacritty
GitSquared,edex-ui,32000,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,29000,https://github.com/FiloSottile/mkcert
nativefier,nativefier,27000,https://github.com/nativefier/nativefier
agalwood,Motrix,26000,https://github.com/agalwood/Motrix
PowerShell,PowerShell,26000,https://github.com/PowerShell/PowerShell
sherlock-project,sherlock,25000,https://github.com/sherlock-project/sherlock
nylas,nylas-mail,24000,https://github.com/nylas/nylas-mail
microsoft,calculator,22000,https://github.com/microsoft/calculator
Wox-launcher,Wox,20000,https://github.com/Wox-launcher/Wox
marktext,marktext,18000,https://github.com/marktext/marktext
libgdx,libgdx,18000,https://github.com/libgdx/libgdx
ventoy,Ventoy,18000,https://github.com/ventoy/Ventoy
notable,notable,17000,https://github.com/notable/notable
libuv,libuv,17000,https://github.com/libuv/libuv
BoostIO,Boostnote,17000,https://github.com/BoostIO/Boostnote
Awesome-Windows,Awesome,16000,https://github.com/Awesome-Windows/Awesome
coreybutler,nvm-windows,16000,https://github.com/coreybutler/nvm-windows
cocos2d,cocos2d-x,15000,https://github.com/cocos2d/cocos2d-x
pbatard,rufus,14000,https://github.com/pbatard/rufus
appium,appium,13000,https://github.com/appium/appium
notepad-plus-plus,notepad-plus-plus,13000,https://github.com/notepad-plus-plus/notepad-plus-plus
lukesampson,scoop,13000,https://github.com/lukesampson/scoop
kivy,kivy,13000,https://github.com/kivy/kivy
