username,repo_name,stars,repo_url
benweet,stackedit,18000,https://github.com/benweet/stackedit
digitalocean,nginxconfig.io,12000,https://github.com/digitalocean/nginxconfig.io
Automattic,wp-calypso,11000,https://github.com/Automattic/wp-calypso
roots,sage,11000,https://github.com/roots/sage
woocommerce,woocommerce,7000,https://github.com/woocommerce/woocommerce
WordPress,gutenberg,6000,https://github.com/WordPress/gutenberg
wpscanteam,wpscan,5000,https://github.com/wpscanteam/wpscan
roots,bedrock,5000,https://github.com/roots/bedrock
timber,timber,4000,https://github.com/timber/timber
Varying-Vagrant-Vagrants,VVV,4000,https://github.com/Varying-Vagrant-Vagrants/VVV
wp-cli,wp-cli,4000,https://github.com/wp-cli/wp-cli
postlight,headless-wp-starter,4000,https://github.com/postlight/headless-wp-starter
corcel,corcel,3000,https://github.com/corcel/corcel
wp-bootstrap,wp-bootstrap-navwalker,3000,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
wordpress-mobile,WordPress-iOS,3000,https://github.com/wordpress-mobile/WordPress-iOS
wp-graphql,wp-graphql,2000,https://github.com/wp-graphql/wp-graphql
ahmadawais,create-guten-block,2000,https://github.com/ahmadawais/create-guten-block
lando,lando,2000,https://github.com/lando/lando
olefredrik,FoundationPress,2000,https://github.com/olefredrik/FoundationPress
CMB2,CMB2,2000,https://github.com/CMB2/CMB2
wordpress-mobile,WordPress-Android,2000,https://github.com/wordpress-mobile/WordPress-Android
versionpress,versionpress,2000,https://github.com/versionpress/versionpress
roots,trellis,2000,https://github.com/roots/trellis
frontity,frontity,2000,https://github.com/frontity/frontity
mashirozx,Sakura,2000,https://github.com/mashirozx/Sakura
EasyEngine,easyengine,1000,https://github.com/EasyEngine/easyengine
welaika,wordmove,1000,https://github.com/welaika/wordmove
GSA,data.gov,1000,https://github.com/GSA/data.gov
Tuhinshubhra,RED_HAWK,1000,https://github.com/Tuhinshubhra/RED_HAWK
ampproject,amp-wp,1000,https://github.com/ampproject/amp-wp
