username,repo_name,stars,repo_url
dotnet-architecture,eShopOnContainers,17000,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,9000,https://github.com/mono/mono
reactiveui,ReactiveUI,6000,https://github.com/reactiveui/ReactiveUI
xamarin,Xamarin.Forms,5000,https://github.com/xamarin/Xamarin.Forms
NLog,NLog,5000,https://github.com/NLog/NLog
reactiveui,refit,5000,https://github.com/reactiveui/refit
unoplatform,uno,4000,https://github.com/unoplatform/uno
xamarin,xamarin-forms-samples,3000,https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3000,https://github.com/MvvmCross/MvvmCross
neuecc,MessagePack-CSharp,3000,https://github.com/neuecc/MessagePack-CSharp
migueldeicaza,TensorFlowSharp,3000,https://github.com/migueldeicaza/TensorFlowSharp
bitwarden,mobile,2000,https://github.com/bitwarden/mobile
Caliburn-Micro,Caliburn.Micro,2000,https://github.com/Caliburn-Micro/Caliburn.Micro
mono,SkiaSharp,2000,https://github.com/mono/SkiaSharp
jsuarezruiz,xamarin-forms-goodlooking-UI,2000,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
reactiveui,Akavache,2000,https://github.com/reactiveui/Akavache
mono,CppSharp,2000,https://github.com/mono/CppSharp
xamarin,xamarin-macios,2000,https://github.com/xamarin/xamarin-macios
XamSome,awesome-xamarin,1000,https://github.com/XamSome/awesome-xamarin
dotnet-ad,Microcharts,1000,https://github.com/dotnet-ad/Microcharts
xamarin,ios-samples,1000,https://github.com/xamarin/ios-samples
xamarin,Essentials,1000,https://github.com/xamarin/Essentials
NLua,NLua,1000,https://github.com/NLua/NLua
luberda-molinet,FFImageLoading,1000,https://github.com/luberda-molinet/FFImageLoading
jamesmontemagno,Xamarin.Plugins,1000,https://github.com/jamesmontemagno/Xamarin.Plugins
Baseflow,LottieXamarin,1000,https://github.com/Baseflow/LottieXamarin
prajjwaldimri,GithubXamarin,1000,https://github.com/prajjwaldimri/GithubXamarin
rotorgames,Rg.Plugins.Popup,995000,https://github.com/rotorgames/Rg.Plugins.Popup
lbugnion,mvvmlight,994000,https://github.com/lbugnion/mvvmlight
microsoft,AdaptiveCards,985000,https://github.com/microsoft/AdaptiveCards
